Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 24 2018,General Election,River East Transcona School Division,4,Brenda BAGE,Office of School Trustee,2750,No
October 24 2018,General Election,Louis Riel School Division,4,Pamela KOLOCHUK,Office of School Trustee,7374,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Craig McGREGOR,Office of School Trustee,2645,No
October 24 2018,General Election,Charleswood-Tuxedo,,Ken ST. GEORGE,Office of Councillor,1664,No
October 24 2018,General Election,River East Transcona School Division,4,Susan OLYNIK,Office of School Trustee,6037,Yes
October 24 2018,General Election,Seven Oaks School Division,3,Teresa JAWORSKI,Office of School Trustee,0,Yes
October 24 2018,General Election,Winnipeg School Division,7,Arlene REID,Office of School Trustee,0,Yes
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Harry WOLBERT,Office of Councillor,209,No
October 24 2018,General Election,Pembina Trails School Division,1,Corey BURGESS,Office of School Trustee,1865,No
October 24 2018,General Election,St. Norbert-Seine River,,Chris DAVIS,Office of Councillor,608,No
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Zachary LINNICK,Office of School Trustee,1260,No
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Cheryl SMUKOWICH,Office of School Trustee,5140,Yes
October 24 2018,General Election,Charleswood-Tuxedo,,Kevin KLEIN,Office of Councillor,7403,Yes
October 24 2018,General Election,Pembina Trails School Division,1,Dianne ZUK,Office of School Trustee,5247,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Craig JOHNSON,Office of School Trustee,3275,Yes
October 24 2018,General Election,Seven Oaks School Division,2,Paul ONG,Office of School Trustee,3684,No
October 24 2018,General Election,Seven Oaks School Division,2,Derek DABEE,Office of School Trustee,4300,Yes
October 24 2018,General Election,Louis Riel School Division,2,Robert PAGE,Office of School Trustee,4092,Yes
October 24 2018,General Election,St. Vital,,Brian MAYES,Office of Councillor,14338,Yes
October 24 2018,General Election,Winnipeg,,Doug WILSON,Office of Mayor,3527,No
October 24 2018,General Election,Daniel McIntyre,,Josh BRANDON,Office of Councillor,4592,No
October 24 2018,General Election,Winnipeg School Division,1,Bruce KEMP,Office of School Trustee,1920,No
October 24 2018,General Election,River East Transcona School Division,1,Jerry SODOMLAK,Office of School Trustee,4686,Yes
October 24 2018,General Election,Transcona,,Steven LIPISCHAK,Office of Councillor,2004,No
October 24 2018,General Election,St. Boniface,,Marcel BOILLE,Office of Councillor,2838,No
October 24 2018,General Election,Winnipeg School Division,1,Jamie DUMONT,Office of School Trustee,4821,Yes
October 24 2018,General Election,Mynarski,,Dave CAPAR,Office of Councillor,377,No
October 24 2018,General Election,Louis Riel School Division,2,Mark OLFERT,Office of School Trustee,1744,No
October 24 2018,General Election,Point Douglas,,Kate SJOBERG,Office of Councillor,2936,No
October 24 2018,General Election,Louis Riel School Division,1,Tanya POMANSKI,Office of School Trustee,2192,No
October 24 2018,General Election,Pembina Trails School Division,2,Sheila BILLINGHURST,Office of School Trustee,7947,Yes
October 24 2018,General Election,Louis Riel School Division,4,Darcy COLLIGNON,Office of School Trustee,2199,No
October 24 2018,General Election,River Heights-Fort Garry,,Garth STEEK,Office of Councillor,4684,No
October 24 2018,General Election,Winnipeg School Division,2,Michael CARDILLO,Office of School Trustee,1852,No
October 24 2018,General Election,Louis Riel School Division,3,Ajay GUPTA,Office of School Trustee,2326,No
October 24 2018,General Election,Louis Riel School Division,1,Cindy TURNER,Office of School Trustee,3591,Yes
October 24 2018,General Election,Elmwood-East Kildonan,,Jason SCHREYER,Office of Councillor,6171,Yes
October 24 2018,General Election,River East Transcona School Division,3,Brianne GOERTZEN,Office of School Trustee,4511,Yes
October 24 2018,General Election,Winnipeg School Division,9,Dennae KOSHELANYK,Office of School Trustee,870,No
October 24 2018,General Election,Louis Riel School Division,3,Sandy NEMETH,Office of School Trustee,8139,Yes
October 24 2018,General Election,Pembina Trails School Division,2,Sukh SINGH,Office of School Trustee,4204,No
October 24 2018,General Election,Louis Riel School Division,4,Hugh COBURN,Office of School Trustee,3198,No
October 24 2018,General Election,Louis Riel School Division,4,Jay MYSHKOWSKY,Office of School Trustee,3352,No
October 24 2018,General Election,Pembina Trails School Division,1,Gerry MELNYK,Office of School Trustee,5654,Yes
October 24 2018,General Election,River East Transcona School Division,3,Keith MORRISON,Office of School Trustee,3078,Yes
October 24 2018,General Election,St. Norbert-Seine River,,Markus CHAMBERS,Office of Councillor,5391,Yes
October 24 2018,General Election,Transcona,,Shawn NASON,Office of Councillor,5247,Yes
October 24 2018,General Election,Charleswood-Tuxedo,,Grant NORDMAN,Office of Councillor,5922,No
October 24 2018,General Election,St. James,,Shawn DOBSON,Office of Councillor,5740,No
October 24 2018,General Election,Winnipeg School Division,8,Betty EDEL,Office of School Trustee,3761,Yes
October 24 2018,General Election,Louis Riel School Division,1,Claude PLANTE,Office of School Trustee,3112,No
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Bryan METCALFE,Office of School Trustee,3183,Yes
October 24 2018,General Election,Louis Riel School Division,3,Denisa GAVAN-KOOP,Office of School Trustee,3940,No
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Tracey DREXLER,Office of School Trustee,2717,No
October 24 2018,General Election,Seven Oaks School Division,2,Diane CAMERON,Office of School Trustee,4413,Yes
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Sherri ROLLINS,Office of Councillor,5349,Yes
October 24 2018,General Election,River Heights-Fort Garry,,John ORLIKOW,Office of Councillor,12717,Yes
October 24 2018,General Election,River East Transcona School Division,4,Rob GIGIEL,Office of School Trustee,1085,No
October 24 2018,General Election,Winnipeg School Division,9,Gagandeep CHAHAL,Office of School Trustee,1197,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Jeff PALMER,Office of Councillor,4783,No
October 24 2018,General Election,Winnipeg School Division,3,Mark WASYLIW,Office of School Trustee,0,Yes
October 24 2018,General Election,River East Transcona School Division,1,Adam BURKOWSKI,Office of School Trustee,3322,No
October 24 2018,General Election,Pembina Trails School Division,1,Sam ZURZOLO,Office of School Trustee,2124,No
October 24 2018,General Election,Winnipeg School Division,9,Michael SUGAWARA,Office of School Trustee,1070,No
October 24 2018,General Election,Charleswood-Tuxedo,,Kevin NICHOLS,Office of Councillor,2690,No
October 24 2018,General Election,Winnipeg,,Jenny MOTKALUK,Office of Mayor,76554,No
October 24 2018,General Election,Winnipeg,,Don WOODSTOCK,Office of Mayor,4738,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Stephanie MEILLEUR,Office of Councillor,1783,No
October 24 2018,General Election,St. James,,Scott GILLINGHAM,Office of Councillor,9130,Yes
October 24 2018,General Election,River East Transcona School Division,2,Rod GIESBRECHT,Office of School Trustee,0,Yes
October 24 2018,General Election,Winnipeg School Division,2,Chris BROUGHTON,Office of School Trustee,4062,Yes
October 24 2018,General Election,Pembina Trails School Division,3,Simon STRAUMAN,Office of School Trustee,692,No
October 24 2018,General Election,Transcona,,Wally WELECHENKO,Office of Councillor,2345,No
October 24 2018,General Election,Daniel McIntyre,,Sarowar MIAH,Office of Councillor,238,No
October 24 2018,General Election,Pembina Trails School Division,1,Jaime GLENAT,Office of School Trustee,4635,Yes
October 24 2018,General Election,Pembina Trails School Division,3,Jasmine BRAR,Office of School Trustee,4014,No
October 24 2018,General Election,Louis Riel School Division,2,Rodger SALM,Office of School Trustee,1603,No
October 24 2018,General Election,St. James,,Kurt MORTON,Office of Councillor,1601,No
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Craig GLENNIE,Office of School Trustee,3270,Yes
October 24 2018,General Election,Elmwood-East Kildonan,,Robb MASSEY,Office of Councillor,5095,No
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Bryanna SPINA,Office of Councillor,700,No
October 24 2018,General Election,River East Transcona School Division,3,Roland HEADLEY,Office of School Trustee,2591,No
October 24 2018,General Election,Seven Oaks School Division,2,Christian TARDI,Office of School Trustee,1632,No
October 24 2018,General Election,Old Kildonan,,Brad GROSS,Office of Councillor,2339,No
October 24 2018,General Election,River Heights-Fort Garry,,Gary LENKO,Office of Councillor,1007,No
October 24 2018,General Election,River East Transcona School Division,1,Colleen CARSWELL,Office of School Trustee,6302,Yes
October 24 2018,General Election,Fort Rouge-East Fort Garry,,Michael THOMPSON,Office of Councillor,793,No
October 24 2018,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Kris KENDALL,Office of School Trustee,2228,No
October 24 2018,General Election,Louis Riel School Division,3,Josie LANDRY,Office of School Trustee,7432,Yes
October 24 2018,General Election,Pembina Trails School Division,2,Tim JOHNSON,Office of School Trustee,7232,Yes
October 24 2018,General Election,Mynarski,,Michael WIENS,Office of Councillor,1792,No
October 24 2018,General Election,Pembina Trails School Division,3,Cindy NACHTIGALL,Office of School Trustee,4204,Yes
October 24 2018,General Election,Seven Oaks School Division,2,Jaspal BEDI,Office of School Trustee,1635,No
October 24 2018,General Election,Winnipeg,,Umar HAYAT,Office of Mayor,2229,No
October 24 2018,General Election,North Kildonan,,Andrew PODOLECKI,Office of Councillor,3786,No
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Peter WOODS,Office of School Trustee,2317,No
October 24 2018,General Election,Winnipeg,,Venkat MACHIRAJU,Office of Mayor,788,No
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Vicki REMPEL,Office of School Trustee,1477,No
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Holly HUNTER,Office of School Trustee,2334,Yes
October 24 2018,General Election,Pembina Trails School Division,3,Julie FISHER,Office of School Trustee,5038,Yes
October 24 2018,General Election,St. Norbert-Seine River,,Nikolas JOYAL,Office of Councillor,971,No
October 24 2018,General Election,St. Norbert-Seine River,,Glenn CHURCHILL,Office of Councillor,3835,No
October 24 2018,General Election,Waverley West,,Janice LUKES,Office of Councillor,0,Yes
October 24 2018,General Election,Pembina Trails School Division,1,Jessica PERRY,Office of School Trustee,3749,No
October 24 2018,General Election,Mynarski,,Ross EADIE,Office of Councillor,6854,Yes
October 24 2018,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Bruce CHEGUS,Office of School Trustee,3526,Yes
October 24 2018,General Election,Pembina Trails School Division,2,Andrew HARDER,Office of School Trustee,4311,No
October 24 2018,General Election,Winnipeg School Division,5,Kevin FREEDMAN,Office of School Trustee,2218,No
October 24 2018,General Election,Seven Oaks School Division,3,Edward PLOSZAY,Office of School Trustee,0,Yes
October 24 2018,General Election,Point Douglas,,Dean KOSHELANYK,Office of Councillor,1022,No
October 24 2018,General Election,Winnipeg,,Ed ACKERMAN,Office of Mayor,1697,No
October 24 2018,General Election,Winnipeg,,Brian BOWMAN,Office of Mayor,114222,Yes
October 24 2018,General Election,Seven Oaks School Division,3,Claudia SARBIT,Office of School Trustee,0,Yes
October 24 2018,General Election,North Kildonan,,Jeff BROWATY,Office of Councillor,12796,Yes
October 24 2018,General Election,Do you support the opening of Portage and Main to pedestrian crossings?,,Yes,Question on the Ballot,72300,No
October 24 2018,General Election,Louis Riel School Division,4,Tom PARKER,Office of School Trustee,3957,Yes
October 24 2018,General Election,River East Transcona School Division,3,Jason CRAMPTON,Office of School Trustee,2030,No
October 24 2018,General Election,Seven Oaks School Division,2,Kelly LEGASPI,Office of School Trustee,2621,No
October 24 2018,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Nicole BOWERING,Office of School Trustee,3452,Yes
October 24 2018,General Election,Winnipeg School Division,8,Christine BROUZES,Office of School Trustee,1345,No
October 24 2018,General Election,Louis Riel School Division,2,Chris SIGURDSON,Office of School Trustee,4788,Yes
October 24 2018,General Election,Pembina Trails School Division,3,Yunusa SALAMI,Office of School Trustee,1141,No
October 24 2018,General Election,Old Kildonan,,Kaur Singh SIDHU,Office of Councillor,2862,No
October 24 2018,General Election,Winnipeg School Division,9,Linda SCHATKOWSKY,Office of School Trustee,2848,Yes
October 24 2018,General Election,Transcona,,Alex ALLARD,Office of Councillor,2183,No
October 24 2018,General Election,Winnipeg School Division,5,Cindy MURDOCH,Office of School Trustee,3100,Yes
October 24 2018,General Election,Pembina Trails School Division,2,David JOHNSON,Office of School Trustee,8128,Yes
