Date,Type,Area,Ward,Candidate,Position,Votes,Won
October 23 2002,General Election,St. James,,Jae EADIE,Office of Councillor,6557,Yes
October 26 1995,General Election,Seven Oaks School Division,2,John PANTING,Office of School Trustee,1420,No
October 22 1986,General Election,Jefferson,,Mike O'SHAUGHNESSY,Office of Councillor,1659,Yes
October 28 1992,General Election,Winnipeg School Division,2,Florencio ANTONIO,Office of School Trustee,3373,No
October 26 1995,General Election,St. Vital School Division,,Stewart SHINNAN,Office of School Trustee,2218,No
October 26 1995,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Allan GREEN,Office of School Trustee,3332,No
October 26 1983,General Election,Norwood School Division,,Claudette SAVARD,Office of School Trustee,2214,Yes
October 22 1986,General Election,Pembina,,Doug MCGIFFIN,Office of Councillor,1798,No
October 26 1977,General Election,Charleswood,,John HILGENGA,Office of Councillor,340,No
October 26 1989,General Election,River East School Division,3,Peter KOTYK,Office of School Trustee,808,No
October 26 1989,General Election,River East School Division,3,Orest LAZARUK,Office of School Trustee,2127,No
October 27 2010,General Election,River East Transcona School Division,4,Roland HEADLEY,Office of School Trustee,2885,No
October 22 2014,General Election,Pembina Trails School Division,1,Tony BUCHEL,Office of School Trustee,3441,No
October 22 2014,General Election,Seven Oaks School Division,3,Richard SAWKA,Office of School Trustee,4776,Yes
October 23 1974,General Election,St. James-Assiniboia School Division,,Bob DOUGLAS,Office of School Trustee,3357,No
October 23 2002,General Election,River East Transcona School Division,1,Ken SILK,Office of School Trustee,2856,No
October 22 1986,General Election,Charleswood,,George NOVAK,Office of Councillor,352,No
October 22 1986,General Election,River East School Division,3,Roger STEPHANCHEW,Office of School Trustee,1083,No
October 26 1983,General Election,Seven Oaks School Division,3,Sara TREGEBOV,Office of School Trustee,4172,Yes
October 28 1992,General Election,Assiniboine South School Division,3,Sharon MILNE,Office of School Trustee,1341,Yes
October 23 2002,General Election,Point Douglas,,Shane SADORSKI,Office of Councillor,856,No
November 09 1999,By-Election,River East School Division,3,Phil BROWN,Office of School Trustee,80,No
October 23 2002,General Election,Pembina Trails School Division,2,Rick MCMILLAN,Office of School Trustee,5067,No
October 28 1992,General Election,Transcona-Springfield School Division,2,Roy DUPONT,Office of School Trustee,637,No
October 27 2010,General Election,Seven Oaks School Division,2,Derek DABEE,Office of School Trustee,4563,Yes
October 26 1983,General Election,St. James-Assiniboia School Division,Silver Heights-Booth Ward,Ralph MCFADYEN,Office of School Trustee,4334,Yes
October 25 2006,General Election,St. Charles,,Shawn DOBSON,Office of Councillor,2516,No
October 27 2010,General Election,Mynarski,,Jenny MOTKALUK,Office of Councillor,2734,No
November 17 1999,By-Election,St. Boniface School Division,1,Tricia BARNABE,Office of School Trustee,367,Yes
October 23 1974,General Election,St. Boniface School Division,,Jim GARWOOD,Office of School Trustee,2500,Yes
October 26 1977,General Election,Kildonan Park,,Abraham ARNOLD,Office of Councillor,1240,No
October 26 1995,General Election,Norwood School Division,,Nancy ALLAN,Office of School Trustee,2463,Yes
October 28 1992,General Election,Winnipeg,,Greg SELINGER,Office of Mayor,75123,No
June 22 2004,By-Election,St. Boniface,,Derek W. J. HAY,Office of Councillor,653,No
October 23 2002,General Election,River East Transcona School Division,1,Mary ANDREE,Office of School Trustee,3136,Yes
October 27 2010,General Election,Winnipeg,,Sam KATZ,Office of Mayor,116308,Yes
October 26 1989,General Election,Winnipeg School Division,1,Colin FLEMING,Office of School Trustee,2827,No
October 23 2002,General Election,Louis Riel School Division,4,Ken AKERSTREAM,Office of School Trustee,2024,No
October 26 1995,General Election,Fort Garry School Division,2,Brent POOLES,Office of School Trustee,1875,Yes
October 23 1974,General Election,Winnipeg School Division,3,Isobel SUDOL,Office of School Trustee,4538,Yes
October 28 1998,General Election,St. Boniface School Division,3,Roy SCHELLENBERG,Office of School Trustee,3079,Yes
October 23 2002,General Election,Louis Riel School Division,3,Archit SHAH,Office of School Trustee,432,No
October 28 1992,General Election,Winnipeg,,Walter DIAWOL,Office of Mayor,553,No
October 25 2006,General Election,River Heights-Fort Garry,,Donald BENHAM,Office of Councillor,5296,No
October 28 1998,General Election,Seven Oaks School Division,2,Douglas SIMPSON,Office of School Trustee,1904,No
October 23 2002,General Election,Seven Oaks School Division,3,Lorne PETERSON,Office of School Trustee,1498,No
June 20 1979,By-Election,Winnipeg,,Joe ZUKEN,Office of Mayor,24650,No
October 26 1977,General Election,Pembina,,Betty IRETON,Office of Councillor,2201,No
October 22 1986,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Fay CAMPBELL,Office of School Trustee,1300,No
October 23 1974,General Election,Transcona-Springfield School Division,1,Wally STOYKO,Office of School Trustee,3070,Yes
October 26 1995,General Election,Transcona,,Shirley TIMM-RUDOLPH,Office of Councillor,6506,Yes
October 26 1983,General Election,Winnipeg School Division,3,Jany KEENAN,Office of School Trustee,3711,No
October 26 1995,General Election,St. Vital School Division,,Wayne BOYCE,Office of School Trustee,5249,Yes
October 22 1986,General Election,Deer Lodge,,Don SMITH,Office of Councillor,1125,No
October 28 1998,General Election,Winnipeg School Division,2,Ralph TESSIER,Office of School Trustee,918,No
October 26 1983,General Election,Winnipeg School Division,1,Georgie BALNEAVES,Office of School Trustee,5976,No
October 28 1992,General Election,St. James-Assiniboia School Division,King Edward-Deer Lodge Ward,Glenn RICHARDSON,Office of School Trustee,2667,No
October 27 2010,General Election,St. Charles,,Shawn DOBSON,Office of Councillor,4063,No
October 22 2014,General Election,St. James-Assiniboia School Division,Kirkfield-St. Charles Ward,Cheryl SMUKOWICH,Office of School Trustee,6045,Yes
October 28 1992,General Election,Seven Oaks School Division,3,Mike LYMYCH,Office of School Trustee,3200,No
October 26 1977,General Election,Miles MacDonnell,,Natalie KISHENSKY,Office of Councillor,263,No
October 26 1989,General Election,River-Osborne,,Joe BOVA,Office of Councillor,1725,No
June 22 2004,By-Election,Winnipeg,,Garth STEEK,Office of Mayor,16497,No
October 23 2002,General Election,Pembina Trails School Division,2,Craig RITCHIE,Office of School Trustee,5586,Yes
October 22 1986,General Election,Glenlawn,,Al DUCHARME,Office of Councillor,2461,No
October 26 1989,General Election,St. Charles,,Max MELNYK,Office of Councillor,637,No
October 06 1971,General Election,Winnipeg,,Jack WILLIS,Office of Mayor,49014,No
October 26 1989,General Election,University,,Jerry LEMAY,Office of Councillor,299,No
October 23 2002,General Election,Louis Riel School Division,3,Keith POULSON,Office of School Trustee,590,No
October 26 1989,General Election,Deer Lodge,,Jae EADIE,Office of Councillor,1939,Yes
October 23 2002,General Election,Louis Riel School Division,3,Jeff NIEDERHOFFER,Office of School Trustee,509,No
October 26 1995,General Election,St. Vital,,Allan GOLDEN,Office of Councillor,11085,Yes
October 26 1995,General Election,Fort Garry School Division,4,Gordon STADNYK,Office of School Trustee,336,No
October 28 1998,General Election,Transcona-Springfield School Division,2,Laurie GOODMAN,Office of School Trustee,2163,Yes
October 22 1986,General Election,Fort Garry School Division,3,John LEBLANC,Office of School Trustee,638,No
October 23 1974,General Election,Talbot,,Alf SKOWRON,Office of Councillor,1022,Yes
October 23 1974,General Election,St. James-Assiniboia School Division,,Gerard MOORE,Office of School Trustee,2867,No
October 23 1974,General Election,St. Vital School Division,,Gerald DUCHARME,Office of School Trustee,4356,Yes
October 23 1974,General Election,Sisler,,Norman HUDSON,Office of Councillor,1630,Yes
October 23 2002,General Election,Louis Riel School Division,3,Ted POULTER,Office of School Trustee,1686,No
October 27 2010,General Election,Fort Rouge-East Fort Garry,,Ian RABB,Office of Councillor,4250,No
October 27 2010,General Election,Seven Oaks School Division,2,Ric DELA CRUZ,Office of School Trustee,5245,Yes
October 25 2006,General Election,Louis Riel School Division,2,Mike DUCHARME,Office of School Trustee,4572,Yes
October 28 1998,General Election,Transcona-Springfield School Division,2,Marilyn LAMOUREUX,Office of School Trustee,2018,Yes
June 22 2004,By-Election,St. Boniface,,Roland MARCOUX,Office of Councillor,5798,No
October 22 2014,General Election,River East Transcona School Division,2,John TOEWS,Office of School Trustee,4947,Yes
October 26 1977,General Election,Winnipeg School Division,3,Curtis FONTAINE,Office of School Trustee,4256,No
October 26 1983,General Election,Seven Oaks School Division,2,Judy SILVER,Office of School Trustee,2366,Yes
